activation,learning_rate,epochs,layers,neurons,train_acc,test_acc
logistic,0.001,1000,1,10,0.9244565217391304,0.9326818675352877
logistic,0.001,1000,1,20,0.9201086956521739,0.9250814332247557
logistic,0.001,1000,2,10,0.9105978260869565,0.9098805646036916
logistic,0.001,1000,2,20,0.9206521739130434,0.9315960912052117
logistic,0.001,2000,1,10,0.9244565217391304,0.9326818675352877
logistic,0.001,2000,1,20,0.9201086956521739,0.9250814332247557
logistic,0.001,2000,2,10,0.9105978260869565,0.9098805646036916
logistic,0.001,2000,2,20,0.9206521739130434,0.9315960912052117
logistic,0.01,1000,1,10,0.9377717391304348,0.9413680781758957
logistic,0.01,1000,1,20,0.9323369565217391,0.9359391965255157
logistic,0.01,1000,2,10,0.9385869565217392,0.9413680781758957
logistic,0.01,1000,2,20,0.9559782608695652,0.9413680781758957
logistic,0.01,2000,1,10,0.9377717391304348,0.9413680781758957
logistic,0.01,2000,1,20,0.9323369565217391,0.9359391965255157
logistic,0.01,2000,2,10,0.9385869565217392,0.9413680781758957
logistic,0.01,2000,2,20,0.9559782608695652,0.9413680781758957
tanh,0.001,1000,1,10,0.9214673913043478,0.9283387622149837
tanh,0.001,1000,1,20,0.9282608695652174,0.9283387622149837
tanh,0.001,1000,2,10,0.9347826086956522,0.9381107491856677
tanh,0.001,1000,2,20,0.9233695652173913,0.9337676438653637
tanh,0.001,2000,1,10,0.9214673913043478,0.9283387622149837
tanh,0.001,2000,1,20,0.9282608695652174,0.9283387622149837
tanh,0.001,2000,2,10,0.9347826086956522,0.9381107491856677
tanh,0.001,2000,2,20,0.9233695652173913,0.9337676438653637
tanh,0.01,1000,1,10,0.9451086956521739,0.9424538545059717
tanh,0.01,1000,1,20,0.9652173913043478,0.9424538545059717
tanh,0.01,1000,2,10,0.9684782608695652,0.9337676438653637
tanh,0.01,1000,2,20,0.9570652173913043,0.9424538545059717
tanh,0.01,2000,1,10,0.9451086956521739,0.9424538545059717
tanh,0.01,2000,1,20,0.9652173913043478,0.9424538545059717
tanh,0.01,2000,2,10,0.9684782608695652,0.9337676438653637
tanh,0.01,2000,2,20,0.9570652173913043,0.9424538545059717
relu,0.001,1000,1,10,0.9260869565217391,0.9402823018458197
relu,0.001,1000,1,20,0.94375,0.9348534201954397
relu,0.001,1000,2,10,0.9315217391304348,0.9337676438653637
relu,0.001,1000,2,20,0.93125,0.9315960912052117
relu,0.001,2000,1,10,0.9260869565217391,0.9402823018458197
relu,0.001,2000,1,20,0.94375,0.9348534201954397
relu,0.001,2000,2,10,0.9315217391304348,0.9337676438653637
relu,0.001,2000,2,20,0.93125,0.9315960912052117
relu,0.01,1000,1,10,0.9434782608695652,0.9424538545059717
relu,0.01,1000,1,20,0.9671195652173913,0.9402823018458197
relu,0.01,1000,2,10,0.946195652173913,0.9413680781758957
relu,0.01,1000,2,20,0.9730978260869565,0.9489685124864278
relu,0.01,2000,1,10,0.9434782608695652,0.9424538545059717
relu,0.01,2000,1,20,0.9671195652173913,0.9402823018458197
relu,0.01,2000,2,10,0.946195652173913,0.9413680781758957
relu,0.01,2000,2,20,0.9730978260869565,0.9489685124864278
